actor,nummovies,Wavgprofit,GenreName
"Timothy Hutton",2,-5732.706671118,Comedy
"Greta Gerwig",2,-5798.270654406,Comedy
"Carrie MacLemore",2,-5798.270654406,Comedy
"Megalyn Echikunwoke",2,-5798.270654406,Comedy
"Jeffrey Tambor",2,-7708.072532604,Comedy
"James Marsden",2,-7708.072532604,Comedy
"Kathryn Hahn",2,-7708.072532604,Comedy
"Matt O'Leary",2,-8650.515,Comedy
"Jessica Cook",2,-8650.515,Comedy
"Lance Henriksen",2,-8650.515,Comedy
"Clifton Collins Jr.",2,-8650.515,Comedy
"Paul Perri",2,-9358.151348442,Comedy
"Kiefer Sutherland",2,-9358.151348442,Comedy
"Bokeem Woodbine",2,-9358.151348442,Comedy
"Paul Rudd",2,-15444.017024538,Comedy
"Adam Brody",2,-15444.017024538,Comedy
"Jon Hamm",2,-15444.017024538,Comedy
"Jim Carrey",2,-15890.52892719,Comedy
"Gerry Becker",2,-15890.52892719,Comedy
"Greyson Erik Pendry",2,-15890.52892719,Comedy
"Brittany Colonna",2,-15890.52892719,Comedy
"Johnny Depp",2,-16567.801967982,Comedy
"Benicio Del Toro",2,-16567.801967982,Comedy
"Tobey Maguire",2,-16567.801967982,Comedy
"Michael Lee Gogin",2,-16567.801967982,Comedy
"Analeigh Tipton",4,-16661.72715468,Comedy
"Joe Viterelli",2,-17319.171860058,Comedy
"Matthew Lillard",2,-17711.635344989998,Comedy
"Sam Waterston",2,-17711.635344989998,Comedy
"Ricki Lake",2,-17711.635344989998,Comedy
"Nick Swardson",2,-25849.83224463,Comedy
"Christina Ricci",2,-25849.83224463,Comedy
"Don Johnson",2,-25849.83224463,Comedy
"Stephen Dorff",2,-25849.83224463,Comedy
"Robert Downey Jr.",2,-25865.915282118,Comedy
"Robin Wright",2,-25865.915282118,Comedy
"Jeremy Northam",2,-25865.915282118,Comedy
"Danny DeVito",4,-27513.759835946,Comedy
"Sean Fox",2,-28564.13893824,Comedy
"J. Evan Bonifant",2,-28564.13893824,Comedy
"Victor Wong",2,-28564.13893824,Comedy
"Max Elliott Slade",2,-28564.13893824,Comedy
"Christopher Walken",2,-29018.60239428,Comedy
"Sissy Spacek",2,-29018.60239428,Comedy
"Jessica Simpson",2,-29282.065939326,Comedy
"Luke Wilson",2,-29282.065939326,Comedy
"Rachael Leigh Cook",2,-29282.065939326,Comedy
"Samuel L. Jackson",2,-30246.719469036,Comedy
"Jessie T. Usher",2,-30246.719469036,Comedy
"Richard Roundtree",2,-30246.719469036,Comedy
"Bruce Greenwood",2,-32530.62497913,Comedy
Madonna,2,-32530.62497913,Comedy
"Elizabeth Banks",2,-32530.62497913,Comedy
"Michael Beattie",2,-32530.62497913,Comedy
"Neve Campbell",2,-32628.44500275,Comedy
"Dylan McDermott",2,-32628.44500275,Comedy
"Oliver Platt",2,-32628.44500275,Comedy
"Tina Fey",2,-33388.403126118,Comedy
"Margot Robbie",2,-33388.403126118,Comedy
"Martin Freeman",2,-33388.403126118,Comedy
"Andy Samberg",2,-36905.169653394,Comedy
"Jorma Taccone",2,-36905.169653394,Comedy
"Bill Hader",2,-36905.169653394,Comedy
"James Cromwell",2,-37606.00323684,Comedy
"Mary Stein",2,-37606.00323684,Comedy
"Mickey Rooney",2,-37606.00323684,Comedy
"Magda Szubanski",2,-37606.00323684,Comedy
"John Krasinski",2,-37688.508388704,Comedy
"Carmen Ejogo",2,-37688.508388704,Comedy
"Lucy Liu",2,-41055.261145056,Comedy
"Nicollette Sheridan",2,-41055.261145056,Comedy
"Mark Dacascos",2,-41055.261145056,Comedy
"Sarah Jessica Parker",2,-42149.489008848,Comedy
"Eric Idle",2,-42149.489008848,Comedy
"Matt Damon",2,-46840.908967974,Comedy
"Christoph Waltz",2,-46840.908967974,Comedy
"Hong Chau",2,-46840.908967974,Comedy
"Rachel McAdams",2,-47519.123184798,Comedy
"Michael Peña",2,-47519.123184798,Comedy
"Molly Hagan",2,-47519.123184798,Comedy
"Conner Rayburn",2,-49806.021773082,Comedy
"Nat Faxon",2,-49806.021773082,Comedy
"John C. Reilly",2,-49806.021773082,Comedy
"Tim Meadows",2,-49806.021773082,Comedy
